Genre,Amazon_Prime,Apple_TV,Disney_Plus,Foxtel_Now,Netflix,Stan
Genre,Amazon Prime,Apple TV+,Disney+,Foxtel Now,Netflix,Stan
Documentary,1070,22,266,1697,734,305
Crime & Thriller,976,10,234,682,1159,755
Comedy,881,11,412,630,1582,722
Children & Family,731,21,1058,668,1132,575
Romance,605,3,153,285,994,491
Sci-Fi & Fantasy,482,5,224,244,546,364
Action & Adventure,458,2,93,145,397,219
Drama,371,4,87,338,552,349
Horror,225,0,18,56,140,78
Entertainment,203,3,12,698,118,38
Reality,199,0,66,566,174,71
Miscellaneous,12,2,1,11,1,1
Adult,5,0,0,0,5,9
News & Current Affairs,0,0,0,13,0,0
