Platform,Age_of_Content,Recently_Removed,Newly_Added
Platform,Age of Content,Recently Removed,Newly Added
Amazon Prime,0-1 year,202,256
Amazon Prime,1-2 years,476,224
Amazon Prime,2-3 years,489,143
Amazon Prime,3-4 years,486,131
Amazon Prime,4-5 years,409,106
Amazon Prime,5-10 years,1389,431
Amazon Prime,Over 10 years,3011,924
Amazon Prime,All years,6462,2215
Apple TV,0-1 year,0,28
Apple TV,1-2 years,0,11
Apple TV,2-3 years,0,1
Apple TV,3-4 years,0,1
Apple TV,4-5 years,0,0
Apple TV,5-10 years,0,0
Apple TV,Over 10 years,0,7
Apple TV,All years,0,48
Disney+,0-1 year,2,73
Disney+,1-2 years,0,96
Disney+,2-3 years,0,77
Disney+,3-4 years,0,71
Disney+,4-5 years,0,68
Disney+,5-10 years,1,328
Disney+,Over 10 years,0,774
Disney+,All years,3,1487
Foxtel Now,0-1 year,229,506
Foxtel Now,1-2 years,326,436
Foxtel Now,2-3 years,230,288
Foxtel Now,3-4 years,154,200
Foxtel Now,4-5 years,149,156
Foxtel Now,5-10 years,430,588
Foxtel Now,Over 10 years,587,834
Foxtel Now,All years,2105,3008
Netflix,0-1 year,64,652
Netflix,1-2 years,172,354
Netflix,2-3 years,252,169
Netflix,3-4 years,210,128
Netflix,4-5 years,172,94
Netflix,5-10 years,383,323
Netflix,Over 10 years,409,461
Netflix,All years,1662,2181
Stan,0-1 year,13,100
Stan,1-2 years,53,151
Stan,2-3 years,74,123
Stan,3-4 years,39,99
Stan,4-5 years,37,81
Stan,5-10 years,165,256
Stan,Over 10 years,203,674
Stan,All years,584,1484
