Quarter_Ending,Amazon_Prime_Video,Apple_TV,Disney_Plus,Foxtel_Now,Netflix,Stan,Binge,Hulu
Quarter ending,Amazon Prime Video,Apple TV+,Disney+,Foxtel Now,Netflix,Stan,Binge,Hulu
September 2016,0,0,0,"314,050","5,260,960","862,590",0,0
December 2016,0,0,0,"220,930","5,889,130","1,108,280",0,0
March 2017,"131,710",0,0,"296,930","6,948,620","1,279,810",0,0
June 2017,"136,750",0,0,"274,760","7,447,960","1,544,180",0,0
September 2017,"167,520",0,0,"506,370","8,148,220","1,619,510",0,0
December 2017,"219,220",0,0,"585,130","8,097,170","1,605,720",0,0
March 2018,"360,350",0,0,"533,450","9,369,950","1,790,400",0,0
June 2018,"296,420",0,0,"652,270","9,751,510","1,959,160",0,0
September 2018,"457,410",0,0,"562,930","10,072,860","1,998,180",0,0
December 2018,"578,660",0,0,"459,980","10,360,680","2,125,840",0,0
March 2019,"631,540",0,0,"496,350","11,544,500","2,872,780",0,0
01 June 2019,"762,210",0,0,"697,440","11,252,650","2,907,570",0,0
01 September 2019,"1,134,560",0,0,"678,920","11,902,910","3,365,980",0,0
01 December 2019,"1,379,800","477,060","1,471,710","672,850","12,158,040","3,628,480",0,0
01 March 2020,"1,866,780","860,100","2,277,620","561,270","1,292,050","4,012,120",0,0
01 June 2020,"2,132,550","899,710","2,609,710","614,570","13,106,340","4,611,020","162,220","89,210"
01 September 2020,"2,672,270","868,360","3,073,820","545,660","13,203,350","5,134,840","415,050","76,250"
01 December 2020,"3,027,420","895,520","3,204,860","600,250","12,810,630","4,901,880","592,960","50,800"
01 March 2021,"3,566,010","1,010,910","4,266,410","487,970","13,781,930","5,582,340","886,580","102,420"
01 June 2021,"3,569,520","1,139,560","4,219,020","588,580","13,366,000","4,929,290","1,083,530","134,940"
01 December 2021,"4,493,000",,"4,663,000",,"12,821,000","4,707,000",,
01 June 2021,,,,,,,,
