Age of Content,Recently Removed,Newly Added,Number of contents June 2020,turnover_rate %
0-1 year,2,73,1140.0,6.578947368421052
1-2 years,0,96,1140.0,8.421052631578947
2-3 years,0,77,1140.0,6.754385964912281
3-4 years,0,71,1140.0,6.228070175438597
4-5 years,0,68,1140.0,5.964912280701754
5-10 years,1,328,1140.0,28.859649122807017
Over 10 years,0,774,1140.0,67.89473684210526
All years,3,1487,1140.0,130.70175438596493
0-1 year,229,506,5090.0,14.440078585461691
1-2 years,326,436,5090.0,14.970530451866404
2-3 years,230,288,5090.0,10.176817288801573
3-4 years,154,200,5090.0,6.954813359528488
4-5 years,149,156,5090.0,5.992141453831041
5-10 years,430,588,5090.0,20.0
Over 10 years,587,834,5090.0,27.917485265225935
All years,2105,3008,5090.0,100.45186640471513
0-1 year,64,652,7015,10.206699928724163
1-2 years,172,354,7015,7.498218104062723
2-3 years,252,169,7015,6.001425516749822
3-4 years,210,128,7015,4.818246614397719
4-5 years,172,94,7015,3.791874554526016
5-10 years,383,323,7015,10.064148253741982
Over 10 years,409,461,7015,12.401995723449751
All years,1662,2181,7015,54.78260869565217
0-1 year,13,100,3075.0,3.67479674796748
1-2 years,53,151,3075.0,6.634146341463415
2-3 years,74,123,3075.0,6.406504065040651
3-4 years,39,99,3075.0,4.48780487804878
4-5 years,37,81,3075.0,3.83739837398374
5-10 years,165,256,3075.0,13.691056910569104
Over 10 years,203,674,3075.0,28.520325203252035
All years,584,1484,3075.0,67.2520325203252
